,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
0,2024-11-29 19:48:00,97268.00000000,97268.01000000,97204.00000000,97208.43000000,12.42336000,2024-11-29 19:48:59.999,1207977.47301340,3937,5.34071000,519222.34448610,0
1,2024-11-29 19:49:00,97208.43000000,97251.99000000,97208.43000000,97228.01000000,4.01674000,2024-11-29 19:49:59.999,390546.21679030,2593,2.27323000,221006.89070210,0
2,2024-11-29 19:50:00,97228.00000000,97330.48000000,97228.00000000,97300.00000000,17.59332000,2024-11-29 19:50:59.999,1711800.50112650,3784,8.86207000,862215.86295670,0
3,2024-11-29 19:51:00,97300.00000000,97314.49000000,97282.00000000,97314.49000000,6.39363000,2024-11-29 19:51:59.999,622052.82899550,2697,3.43479000,334170.51139170,0
4,2024-11-29 19:52:00,97314.49000000,97314.49000000,97285.71000000,97290.70000000,7.32252000,2024-11-29 19:52:59.999,712442.48830920,1809,2.89829000,281964.11823260,0
5,2024-11-29 19:53:00,97290.71000000,97337.99000000,97290.70000000,97337.98000000,16.87773000,2024-11-29 19:53:59.999,1642488.07862690,2206,12.01221000,1168957.28488130,0
6,2024-11-29 19:54:00,97337.99000000,97401.60000000,97337.98000000,97400.58000000,35.69935000,2024-11-29 19:54:59.999,3475856.17614900,3079,21.36196000,2079801.26638690,0
7,2024-11-29 19:55:00,97400.58000000,97404.00000000,97343.61000000,97343.61000000,35.99588000,2024-11-29 19:55:59.999,3505510.77625040,3676,24.18519000,2355354.58006830,0
8,2024-11-29 19:56:00,97343.61000000,97362.74000000,97343.61000000,97345.92000000,11.96705000,2024-11-29 19:56:59.999,1165060.65876410,1964,2.00362000,195057.48918920,0
9,2024-11-29 19:57:00,97345.92000000,97358.46000000,97325.83000000,97325.83000000,9.66510000,2024-11-29 19:57:59.999,940860.92627530,2323,4.17567000,406493.67342480,0
10,2024-11-29 19:58:00,97325.83000000,97342.58000000,97316.00000000,97316.00000000,22.74366000,2024-11-29 19:58:59.999,2213670.73254730,2539,6.58800000,641190.58649860,0
11,2024-11-29 19:59:00,97316.00000000,97329.73000000,97300.27000000,97329.73000000,8.47074000,2024-11-29 19:59:59.999,824285.45666550,2008,3.62626000,352855.66540170,0
